139-28-4313     115     1056.30
706-02-6945      135     -99.06
595-74-5767     143   4289.07
972-87-1379     155     3300.26
814-50-7178     162    3571.94
632-72-6766     182    3516.77
699-77-2796     191    2565.29
814-77-4491     192    3347.81
265-40-8305     208   1446.72
940-32-8944     211    4153.07
400-19-8435     214    2501.14
794-00-0659     219     3356.98
909-38-6694     220    4496.73
495-33-4989     229     2348.31
353-78-2979     238     3960.09
169-57-3539     249    3927.39
713-79-2241     264     4938.17
016-92-4542     266     3436.31
302-52-0390      271    -89.25
050-44-5987    276     27899.48
430-00-7434     282   2155.40
935-88-9835     300    4690.44
008-41-1683     301     4120.56
262-24-2379     314     2977.82
059-96-0121     332    1164.89
541-30-5692     341    2549.50
246-75-8770     356     2389.04
484-86-7987     361     4031.13
921-96-7973     376   3684.93
602-90-2297    379      2318.76
881-80-3386     380     3622.22
645-86-7907    395   10640.25
887-60-6792     415    1835.59
973-40-7961     431    3540.63
024-13-2629     439   2754.91
992-07-5363      447    410.49
845-40-4968     466     2906.13
526-11-5286     482   2624.67
340-25-3417     502     2658.43
021-66-6171     515   2981.30
236-87-3487    522     37352.53
918-00-7767    532     10376.87
276-69-3568     546   2141.17
549-07-8738     554     -166.40
283-86-4227     573   1262.31
